Step,algorithm,seed,actor/entropy_loss
4,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,42+1,0.5932844877243042
4,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,42,0.5957053303718567
4,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,43,0.6132809519767761
4,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,42+1,0.6059749126434326
4,qwen2.5-1.5b-2gpu-PPO,42,0.6082205772399902
4,qwen2.5-1.5b-2gpu-PPO,43,0.6227489113807678
4,qwen2.5-1.5b-2gpu-PPO,44,0.5910777449607849
4,qwen2.5-1.5b-2gpu-PPO,42+1,0.6093488335609436
4,qwen2.5-1.5b-2gpu-PPO-C51,42,0.59735107421875
4,qwen2.5-1.5b-2gpu-PPO-C51,43,0.6141219735145569
4,qwen2.5-1.5b-2gpu-PPO-C51,44,0.5919424295425415
4,qwen2.5-1.5b-2gpu-PPO-QRDQN,42,0.6017950773239136
4,qwen2.5-1.5b-2gpu-PPO-QRDQN,43,0.6202930808067322
4,qwen2.5-1.5b-2gpu-PPO-QRDQN,44,0.587982714176178
4,qwen2.5-1.5b-2gpu-PPO-iqn,42,0.6034842729568481
4,qwen2.5-1.5b-2gpu-PPO-iqn,43,0.6165305376052856
4,qwen2.5-1.5b-2gpu-PPO-iqn,44,0.5849194526672363
4,qwen2.5-1.5b-2gpu-PPO-distributionalv2-iqn-8-1epoch,42+1,0.6009846329689026
4,qwen2.5-1.5b-2gpu-PPO-2,42+1,0.5978623628616333
4,qwen2.5-1.5b-2gpu-PPO-8,42+1,0.6084416508674622
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,42,0.5955663919448853
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,43,0.6200208067893982
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,44,0.5750698447227478
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,42,0.5913184285163879
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,43,0.6187900900840759
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,44,0.5819593667984009
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,42,0.5902271866798401
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,43,0.6129825711250305
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,44,0.586329996585846
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,42,0.5870261192321777
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,43,0.6190938353538513
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,44,0.5862588286399841
5,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,42,0.5876441597938538
5,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,43,0.6265224814414978
5,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,44,0.5755632519721985
5,qwen2.5-1.5b-2gpu-GRPO,42,0.5872238874435425
5,qwen2.5-1.5b-2gpu-GRPO,43,0.6197046637535095
5,qwen2.5-1.5b-2gpu-GRPO,44,0.5733247995376587
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,42,0.5794439613819122
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,43,0.6213902831077576
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,44,0.5697104334831238
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,42,0.5898863077163696
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,43,0.6206982731819153
5,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,44,0.5688265562057495
5,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,42,0.5933730602264404
5,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,43,0.6087809205055237
5,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,44,0.5751494765281677
5,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,42,0.6071945428848267
5,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,43,0.6171642541885376
5,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,44,0.5777127742767334
5,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,42,0.5945271849632263
5,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,43,0.6198183298110962
5,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,42+1,0.587058424949646
